scenario_id,scenario_name,region,item_count,items,total_selling_price,fixed_shipping,discount,customer_payment,total_cost_price,actual_shipping_cost,shipment_count,gross_profit,margin_rate,margin_rate_pct,margin_ok
S01,単品エゾシカ高単価,kansai,1,EZSK_SET_GIFT,9800,1000,0,10800,4500,1510,1,4790,0.4435,44.4%,True
S02,単品エゾシカ低単価,kanto,1,EZSK_MINCHI_500,2200,1000,0,3200,940,1390,1,870,0.2719,27.2%,True
S03,エゾシカ2品,kansai,2,EZSK_LOIN_300;EZSK_MOMO_500,8300,1000,300,9000,3600,1510,1,3890,0.4322,43.2%,True
S04,エゾシカ3品,kanto,3,EZSK_SRLOIN_300;EZSK_LOIN_300;EZSK_MOMO_500,12500,1000,700,12800,5490,1390,1,5920,0.4625,46.2%,True
S05,エゾシカ4品以上,kansai,4,EZSK_SRLOIN_300;EZSK_LOIN_300;EZSK_MOMO_500;EZSK_STEW_500,15300,1000,1200,15100,6690,1510,1,6900,0.457,45.7%,True
S06,エゾシカ+乳製品,kanto,2,EZSK_LOIN_300;CHSE_CMBR_200,6400,1000,0,7400,2800,2780,2,1820,0.2459,24.6%,True
S07,エゾシカ+日本酒,kansai,2,EZSK_SET_GIFT;SAKE_DGJ_720,14300,1000,0,15300,6500,2800,2,6000,0.3922,39.2%,True
S08,3仕入先,kanto,3,EZSK_MOMO_500;CHSE_CMBR_200;SAKE_GNJ_300,6900,1000,0,7900,3000,3950,3,950,0.1203,12.0%,False
S09,低単価単品・遠方,okinawa,1,EZSK_JERKY_50,1500,1000,0,2500,600,1760,1,140,0.056,5.6%,False
S10,高単価まとめ・近場,hokkaido,3,EZSK_SET_GIFT;EZSK_SRLOIN_300;EZSK_LOIN_300,18800,1000,700,19100,8490,1050,1,9560,0.5005,50.0%,True
