param_name,param_value,scenario_id,scenario_name,margin_rate,gross_profit,margin_ok
discount_2,0,S01,単品エゾシカ高単価,0.4435,4790,True
discount_2,0,S02,単品エゾシカ低単価,0.2719,870,True
discount_2,0,S03,エゾシカ2品,0.4505,4190,True
discount_2,0,S04,エゾシカ3品,0.4625,5920,True
discount_2,0,S05,エゾシカ4品以上,0.457,6900,True
discount_2,0,S06,エゾシカ+乳製品,0.2459,1820,True
discount_2,0,S07,エゾシカ+日本酒,0.3922,6000,True
discount_2,0,S08,3仕入先,0.1203,950,False
discount_2,0,S09,低単価単品・遠方,0.056,140,False
discount_2,0,S10,高単価まとめ・近場,0.5005,9560,True
discount_2,100,S01,単品エゾシカ高単価,0.4435,4790,True
discount_2,100,S02,単品エゾシカ低単価,0.2719,870,True
discount_2,100,S03,エゾシカ2品,0.4446,4090,True
discount_2,100,S04,エゾシカ3品,0.4625,5920,True
discount_2,100,S05,エゾシカ4品以上,0.457,6900,True
discount_2,100,S06,エゾシカ+乳製品,0.2459,1820,True
discount_2,100,S07,エゾシカ+日本酒,0.3922,6000,True
discount_2,100,S08,3仕入先,0.1203,950,False
discount_2,100,S09,低単価単品・遠方,0.056,140,False
discount_2,100,S10,高単価まとめ・近場,0.5005,9560,True
discount_2,200,S01,単品エゾシカ高単価,0.4435,4790,True
discount_2,200,S02,単品エゾシカ低単価,0.2719,870,True
discount_2,200,S03,エゾシカ2品,0.4385,3990,True
discount_2,200,S04,エゾシカ3品,0.4625,5920,True
discount_2,200,S05,エゾシカ4品以上,0.457,6900,True
discount_2,200,S06,エゾシカ+乳製品,0.2459,1820,True
discount_2,200,S07,エゾシカ+日本酒,0.3922,6000,True
discount_2,200,S08,3仕入先,0.1203,950,False
discount_2,200,S09,低単価単品・遠方,0.056,140,False
discount_2,200,S10,高単価まとめ・近場,0.5005,9560,True
discount_2,300,S01,単品エゾシカ高単価,0.4435,4790,True
discount_2,300,S02,単品エゾシカ低単価,0.2719,870,True
discount_2,300,S03,エゾシカ2品,0.4322,3890,True
discount_2,300,S04,エゾシカ3品,0.4625,5920,True
discount_2,300,S05,エゾシカ4品以上,0.457,6900,True
discount_2,300,S06,エゾシカ+乳製品,0.2459,1820,True
discount_2,300,S07,エゾシカ+日本酒,0.3922,6000,True
discount_2,300,S08,3仕入先,0.1203,950,False
discount_2,300,S09,低単価単品・遠方,0.056,140,False
discount_2,300,S10,高単価まとめ・近場,0.5005,9560,True
discount_2,400,S01,単品エゾシカ高単価,0.4435,4790,True
discount_2,400,S02,単品エゾシカ低単価,0.2719,870,True
discount_2,400,S03,エゾシカ2品,0.4258,3790,True
discount_2,400,S04,エゾシカ3品,0.4625,5920,True
discount_2,400,S05,エゾシカ4品以上,0.457,6900,True
discount_2,400,S06,エゾシカ+乳製品,0.2459,1820,True
discount_2,400,S07,エゾシカ+日本酒,0.3922,6000,True
discount_2,400,S08,3仕入先,0.1203,950,False
discount_2,400,S09,低単価単品・遠方,0.056,140,False
discount_2,400,S10,高単価まとめ・近場,0.5005,9560,True
discount_2,500,S01,単品エゾシカ高単価,0.4435,4790,True
discount_2,500,S02,単品エゾシカ低単価,0.2719,870,True
discount_2,500,S03,エゾシカ2品,0.4193,3690,True
discount_2,500,S04,エゾシカ3品,0.4625,5920,True
discount_2,500,S05,エゾシカ4品以上,0.457,6900,True
discount_2,500,S06,エゾシカ+乳製品,0.2459,1820,True
discount_2,500,S07,エゾシカ+日本酒,0.3922,6000,True
discount_2,500,S08,3仕入先,0.1203,950,False
discount_2,500,S09,低単価単品・遠方,0.056,140,False
discount_2,500,S10,高単価まとめ・近場,0.5005,9560,True
discount_2,700,S01,単品エゾシカ高単価,0.4435,4790,True
discount_2,700,S02,単品エゾシカ低単価,0.2719,870,True
discount_2,700,S03,エゾシカ2品,0.4058,3490,True
discount_2,700,S04,エゾシカ3品,0.4625,5920,True
discount_2,700,S05,エゾシカ4品以上,0.457,6900,True
discount_2,700,S06,エゾシカ+乳製品,0.2459,1820,True
discount_2,700,S07,エゾシカ+日本酒,0.3922,6000,True
discount_2,700,S08,3仕入先,0.1203,950,False
discount_2,700,S09,低単価単品・遠方,0.056,140,False
discount_2,700,S10,高単価まとめ・近場,0.5005,9560,True
