param_name,param_value,scenario_id,scenario_name,margin_rate,gross_profit,margin_ok
fixed_shipping,0,S01,単品エゾシカ高単価,0.3867,3790,True
fixed_shipping,0,S02,単品エゾシカ低単価,-0.0591,-130,False
fixed_shipping,0,S03,エゾシカ2品,0.3613,2890,True
fixed_shipping,0,S04,エゾシカ3品,0.4169,4920,True
fixed_shipping,0,S05,エゾシカ4品以上,0.4184,5900,True
fixed_shipping,0,S06,エゾシカ+乳製品,0.1281,820,False
fixed_shipping,0,S07,エゾシカ+日本酒,0.3497,5000,True
fixed_shipping,0,S08,3仕入先,-0.0072,-50,False
fixed_shipping,0,S09,低単価単品・遠方,-0.5733,-860,False
fixed_shipping,0,S10,高単価まとめ・近場,0.4729,8560,True
fixed_shipping,500,S01,単品エゾシカ高単価,0.4165,4290,True
fixed_shipping,500,S02,単品エゾシカ低単価,0.137,370,False
fixed_shipping,500,S03,エゾシカ2品,0.3988,3390,True
fixed_shipping,500,S04,エゾシカ3品,0.4407,5420,True
fixed_shipping,500,S05,エゾシカ4品以上,0.4384,6400,True
fixed_shipping,500,S06,エゾシカ+乳製品,0.1913,1320,True
fixed_shipping,500,S07,エゾシカ+日本酒,0.3716,5500,True
fixed_shipping,500,S08,3仕入先,0.0608,450,False
fixed_shipping,500,S09,低単価単品・遠方,-0.18,-360,False
fixed_shipping,500,S10,高単価まとめ・近場,0.4871,9060,True
fixed_shipping,800,S01,単品エゾシカ高単価,0.433,4590,True
fixed_shipping,800,S02,単品エゾシカ低単価,0.2233,670,True
fixed_shipping,800,S03,エゾシカ2品,0.4193,3690,True
fixed_shipping,800,S04,エゾシカ3品,0.454,5720,True
fixed_shipping,800,S05,エゾシカ4品以上,0.4497,6700,True
fixed_shipping,800,S06,エゾシカ+乳製品,0.225,1620,True
fixed_shipping,800,S07,エゾシカ+日本酒,0.3841,5800,True
fixed_shipping,800,S08,3仕入先,0.0974,750,False
fixed_shipping,800,S09,低単価単品・遠方,-0.0261,-60,False
fixed_shipping,800,S10,高単価まとめ・近場,0.4952,9360,True
fixed_shipping,1000,S01,単品エゾシカ高単価,0.4435,4790,True
fixed_shipping,1000,S02,単品エゾシカ低単価,0.2719,870,True
fixed_shipping,1000,S03,エゾシカ2品,0.4322,3890,True
fixed_shipping,1000,S04,エゾシカ3品,0.4625,5920,True
fixed_shipping,1000,S05,エゾシカ4品以上,0.457,6900,True
fixed_shipping,1000,S06,エゾシカ+乳製品,0.2459,1820,True
fixed_shipping,1000,S07,エゾシカ+日本酒,0.3922,6000,True
fixed_shipping,1000,S08,3仕入先,0.1203,950,False
fixed_shipping,1000,S09,低単価単品・遠方,0.056,140,False
fixed_shipping,1000,S10,高単価まとめ・近場,0.5005,9560,True
fixed_shipping,1200,S01,単品エゾシカ高単価,0.4536,4990,True
fixed_shipping,1200,S02,単品エゾシカ低単価,0.3147,1070,True
fixed_shipping,1200,S03,エゾシカ2品,0.4446,4090,True
fixed_shipping,1200,S04,エゾシカ3品,0.4708,6120,True
fixed_shipping,1200,S05,エゾシカ4品以上,0.4641,7100,True
fixed_shipping,1200,S06,エゾシカ+乳製品,0.2658,2020,True
fixed_shipping,1200,S07,エゾシカ+日本酒,0.4,6200,True
fixed_shipping,1200,S08,3仕入先,0.142,1150,False
fixed_shipping,1200,S09,低単価単品・遠方,0.1259,340,False
fixed_shipping,1200,S10,高単価まとめ・近場,0.5057,9760,True
fixed_shipping,1500,S01,単品エゾシカ高単価,0.4681,5290,True
fixed_shipping,1500,S02,単品エゾシカ低単価,0.3703,1370,True
fixed_shipping,1500,S03,エゾシカ2品,0.4621,4390,True
fixed_shipping,1500,S04,エゾシカ3品,0.4827,6420,True
fixed_shipping,1500,S05,エゾシカ4品以上,0.4744,7400,True
fixed_shipping,1500,S06,エゾシカ+乳製品,0.2937,2320,True
fixed_shipping,1500,S07,エゾシカ+日本酒,0.4114,6500,True
fixed_shipping,1500,S08,3仕入先,0.1726,1450,True
fixed_shipping,1500,S09,低単価単品・遠方,0.2133,640,True
fixed_shipping,1500,S10,高単価まとめ・近場,0.5133,10060,True
fixed_shipping,2000,S01,単品エゾシカ高単価,0.4907,5790,True
fixed_shipping,2000,S02,単品エゾシカ低単価,0.4452,1870,True
fixed_shipping,2000,S03,エゾシカ2品,0.489,4890,True
fixed_shipping,2000,S04,エゾシカ3品,0.5014,6920,True
fixed_shipping,2000,S05,エゾシカ4品以上,0.4907,7900,True
fixed_shipping,2000,S06,エゾシカ+乳製品,0.3357,2820,True
fixed_shipping,2000,S07,エゾシカ+日本酒,0.4294,7000,True
fixed_shipping,2000,S08,3仕入先,0.2191,1950,True
fixed_shipping,2000,S09,低単価単品・遠方,0.3257,1140,True
fixed_shipping,2000,S10,高単価まとめ・近場,0.5254,10560,True
