scenario_id,supplier,temp_zone,item_count,skus,total_weight_g,total_cost,total_selling
S01,あぷかの森,frozen,1,EZSK_SET_GIFT,1200,4500,9800
S02,あぷかの森,frozen,1,EZSK_MINCHI_500,500,940,2200
S03,あぷかの森,frozen,2,EZSK_LOIN_300;EZSK_MOMO_500,800,3600,8300
S04,あぷかの森,frozen,3,EZSK_SRLOIN_300;EZSK_LOIN_300;EZSK_MOMO_500,1100,5490,12500
S05,あぷかの森,frozen,4,EZSK_SRLOIN_300;EZSK_LOIN_300;EZSK_MOMO_500;EZSK_STEW_500,1600,6690,15300
S06,あぷかの森,frozen,1,EZSK_LOIN_300,300,2100,4800
S06,富良野チーズ工房,chilled,1,CHSE_CMBR_200,200,700,1600
S07,あぷかの森,frozen,1,EZSK_SET_GIFT,1200,4500,9800
S07,上川大雪酒造,ambient,1,SAKE_DGJ_720,1200,2000,4500
S08,あぷかの森,frozen,1,EZSK_MOMO_500,500,1500,3500
S08,富良野チーズ工房,chilled,1,CHSE_CMBR_200,200,700,1600
S08,上川大雪酒造,ambient,1,SAKE_GNJ_300,500,800,1800
S09,あぷかの森,ambient,1,EZSK_JERKY_50,50,600,1500
S10,あぷかの森,frozen,3,EZSK_SET_GIFT;EZSK_SRLOIN_300;EZSK_LOIN_300,1800,8490,18800
